"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 12:36:21 UTC 2026","Thu Jul 16 12:36:22 UTC 2026","1011","","Work Item Management","","Cross-tenant work item access returns 404","","Cross-tenant work item access returns 404","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:13 UTC 2026","Thu Jul 16 12:36:16 UTC 2026","2996","","User Login and Tenant Selection","","Single-tenant login returns token directly","","Single-tenant login returns token directly","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 12:36:24 UTC 2026","Thu Jul 16 12:36:24 UTC 2026","14","","Tenant Invites and Membership","","Invalid invite token returns 410","","Invalid invite token returns 410","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:24 UTC 2026","Thu Jul 16 12:36:24 UTC 2026","375","","Tenant Invites and Membership","","Existing user accepts invite without new tenant","","Existing user accepts invite without new tenant","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:21 UTC 2026","Thu Jul 16 12:36:21 UTC 2026","437","","Work Item Management","","Invalid hierarchy TASK parent of TASK returns 400","","Invalid hierarchy TASK parent of TASK returns 400","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:17 UTC 2026","Thu Jul 16 12:36:17 UTC 2026","374","","User Login and Tenant Selection","","Select-tenant returns token for chosen tenant","","Select-tenant returns token for chosen tenant","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 12:36:17 UTC 2026","Thu Jul 16 12:36:17 UTC 2026","496","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 12:36:25 UTC 2026","Thu Jul 16 12:36:26 UTC 2026","526","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 12:36:19 UTC 2026","Thu Jul 16 12:36:19 UTC 2026","375","","Work Item Management","","Create USER_STORY returns 201 with status READY","","Create USER_STORY returns 201 with status READY","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:22 UTC 2026","Thu Jul 16 12:36:23 UTC 2026","176","","Tenant Invites and Membership","","Admin creates invite with token","","Admin creates invite with token","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","20","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 12:36:23 UTC 2026","Thu Jul 16 12:36:23 UTC 2026","433","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
