"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 17:58:35 UTC 2026","Mon Jul 20 17:58:35 UTC 2026","344","","Work Item Management","","Create FEATURE returns 201 with status BACKLOG","","Create FEATURE returns 201 with status BACKLOG","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:38 UTC 2026","Mon Jul 20 17:58:38 UTC 2026","188","","Tenant Invites and Membership","","Admin creates invite with token","","Admin creates invite with token","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","31","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","165","","User Registration","","Valid registration returns token, ADMIN role and tenantId","","Valid registration returns token, ADMIN role and tenantId","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Mon Jul 20 17:58:34 UTC 2026","Mon Jul 20 17:58:34 UTC 2026","537","","Work Item Management","","Create TASK returns 201 with status NEW","","Create TASK returns 201 with status NEW","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:28 UTC 2026","Mon Jul 20 17:58:32 UTC 2026","3158","","User Login and Tenant Selection","","Single-tenant login returns token directly","","Single-tenant login returns token directly","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Mon Jul 20 17:58:35 UTC 2026","Mon Jul 20 17:58:35 UTC 2026","367","","Work Item Management","","List work items returns 200","","List work items returns 200","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:35 UTC 2026","Mon Jul 20 17:58:36 UTC 2026","497","","Work Item Management","","Update work item status via PATCH","","Update work item status via PATCH","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","40","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Mon Jul 20 17:58:39 UTC 2026","Mon Jul 20 17:58:39 UTC 2026","378","","Tenant Invites and Membership","","Existing user accepts invite without new tenant","","Existing user accepts invite without new tenant","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","185","","User Registration","","Duplicate email registration returns 409","","Duplicate email registration returns 409","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Mon Jul 20 17:58:39 UTC 2026","Mon Jul 20 17:58:40 UTC 2026","168","","Tenant Invites and Membership","","Admin cannot revoke the only admin","","Admin cannot revoke the only admin","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
