"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 20:03:50 UTC 2026","Wed Jul 15 20:03:50 UTC 2026","191","","Tenant Invites and Membership","","Admin cancels pending invite","","Admin cancels pending invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:52 UTC 2026","Wed Jul 15 20:03:52 UTC 2026","10","","Project Management","","Unauthenticated access returns 403","","Unauthenticated access returns 403","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 20:03:51 UTC 2026","Wed Jul 15 20:03:51 UTC 2026","15","","Tenant Invites and Membership","","Invalid invite token returns 410","","Invalid invite token returns 410","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:49 UTC 2026","Wed Jul 15 20:03:50 UTC 2026","327","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","26","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","198","","Tenant Management","","Creating a second tenant returns ADMIN role","","Creating a second tenant returns ADMIN role","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:46 UTC 2026","478","","Work Item Management","","Create TASK returns 201 with status NEW","","Create TASK returns 201 with status NEW","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:48 UTC 2026","Wed Jul 15 20:03:49 UTC 2026","1059","","Work Item Management","","Cross-tenant work item access returns 404","","Cross-tenant work item access returns 404","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:52 UTC 2026","Wed Jul 15 20:03:52 UTC 2026","276","","Project Management","","List projects returns array for tenant","","List projects returns array for tenant","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 20:03:44 UTC 2026","Wed Jul 15 20:03:44 UTC 2026","373","","User Login and Tenant Selection","","Select-tenant returns token for chosen tenant","","Select-tenant returns token for chosen tenant","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Wed Jul 15 20:03:44 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","194","","User Registration","","Duplicate email registration returns 409","","Duplicate email registration returns 409","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Wed Jul 15 20:03:49 UTC 2026","Wed Jul 15 20:03:49 UTC 2026","201","","Tenant Invites and Membership","","Admin creates invite with token","","Admin creates invite with token","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:43 UTC 2026","Wed Jul 15 20:03:44 UTC 2026","522","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Wed Jul 15 20:03:47 UTC 2026","Wed Jul 15 20:03:47 UTC 2026","477","","Work Item Management","","Update work item status via PATCH","","Update work item status via PATCH","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:47 UTC 2026","Wed Jul 15 20:03:48 UTC 2026","408","","Work Item Management","","Create TASK with USER_STORY parent","","Create TASK with USER_STORY parent","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
